Etykieta,Liczba próbek,Œrednia,Min,Max,Odch. std.,% b³êdów,Przepustowoœæ,KB/sek,bitów œrednio
85 /a/f/jpeg/36232/planeta_203.jpeg,5,103,78,140,"22,92","0,00%","7,7","141,23","18743,0"
74 /a/f/jpeg/28443/pap_szkola_pusta_klasa_388.jpeg,5,156,106,197,"39,43","0,00%","7,8","252,54","32997,0"
87 /a/f/jpeg/28460/wp_sad_akta_gadomski_203.jpeg,5,160,97,262,"67,50","0,00%","9,3","361,19","39871,0"
97 /a/f/jpeg/36212/kaczynski_smiech_xnews_140.jpeg,5,90,61,109,"18,61","0,00%","10,1","48,98","4965,0"
97 /a/f/jpeg/36211/miller_pap_140.jpeg,5,78,74,84,"3,71","0,00%","10,9","118,54","11143,0"
75 /a/f/jpeg/36241/pap_epa_moldawia_203.jpeg,5,128,79,186,"46,97","0,00%","10,2","339,95","34254,0"
106 /a/f/jpeg/33057/blisko_slawomir_mrowinski_wspsz_pz_140.jpeg,5,79,55,114,"21,66","0,00%","10,6","161,30","15526,0"
94 /a/f/jpeg/36242/saka_140.jpeg,5,91,70,150,"29,63","0,00%","9,3","212,12","23372,0"
104 /a/f/jpeg/33627/mcdonalds_afp140.jpeg,5,68,44,80,"13,36","0,00%","9,9","67,10","6967,0"
95 /a/f/jpeg/36241/wp_zaremba_140.jpeg,5,82,72,90,"6,76","0,00%","9,7","56,44","5953,0"
103 /a/f/jpeg/33659/epa_wlochy_ulica_architektura_140.jpeg,5,85,76,92,"6,09","0,00%","9,7","74,75","7869,0"
105 /a/f/jpeg/33078/tvn_140.jpeg,5,53,45,59,"4,56","0,00%","10,4","69,70","6838,0"
80 /a/f/jpeg/33179/separatysci_ukraina_afp203.jpeg,5,234,166,347,"60,24","0,00%","6,5","478,83","75705,0"
99 /a/f/jpeg/33463/kajdanki_zatrzymanie_kobieta_policja140.jpeg,5,91,77,114,"13,00","0,00%","7,2","188,29","26762,0"
96 /a/f/jpeg/36233/pis_eastnews_140.jpeg,5,61,43,70,"9,99","0,00%","7,6","45,73","6134,0"
